Name:;
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;08.10.2020 13:12:52

Verstärkung:;7.014
Hochspannung:;870

Kalibrierfaktor:;0.46796

Offset:;3

;Spektrum
Kanal;Impulse
0;0
1;0
2;0
3;1
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;1
23;1
24;3
25;3
26;1
27;5
28;4
29;8
30;30
31;37
32;21
33;19
34;15
35;12
36;17
37;20
38;31
39;30
40;28
41;36
42;41
43;51
44;56
45;46
46;33
47;52
48;62
49;47
50;58
51;52
52;62
53;60
54;68
55;55
56;72
57;71
58;76
59;66
60;65
61;77
62;75
63;50
64;48
65;54
66;58
67;38
68;62
69;57
70;47
71;45
72;50
73;49
74;51
75;44
76;39
77;48
78;43
79;42
80;47
81;35
82;52
83;45
84;49
85;48
86;53
87;55
88;57
89;51
90;71
91;59
92;41
93;46
94;83
95;65
96;60
97;77
98;85
99;95
100;82
101;89
102;102
103;98
104;113
105;117
106;102
107;131
108;138
109;144
110;152
111;174
112;173
113;173
114;165
115;183
116;186
117;185
118;209
119;235
120;219
121;211
122;234
123;200
124;240
125;265
126;247
127;248
128;290
129;229
130;249
131;241
132;223
133;246
134;257
135;245
136;225
137;234
138;187
139;211
140;194
141;220
142;195
143;161
144;172
145;169
146;141
147;161
148;133
149;140
150;143
151;121
152;131
153;114
154;116
155;85
156;100
157;90
158;74
159;93
160;99
161;83
162;88
163;80
164;78
165;92
166;75
167;92
168;59
169;76
170;65
171;73
172;59
173;65
174;77
175;70
176;65
177;63
178;74
179;74
180;79
181;57
182;58
183;85
184;73
185;72
186;69
187;69
188;66
189;62
190;60
191;50
192;73
193;61
194;75
195;73
196;82
197;73
198;78
199;89
200;76
201;81
202;82
203;65
204;70
205;93
206;78
207;72
208;72
209;74
210;67
211;91
212;73
213;74
214;89
215;71
216;76
217;78
218;75
219;95
220;74
221;71
222;92
223;69
224;96
225;75
226;101
227;100
228;95
229;93
230;90
231;81
232;103
233;110
234;103
235;80
236;112
237;95
238;99
239;97
240;122
241;95
242;115
243;112
244;93
245;99
246;132
247;126
248;131
249;113
250;114
251;120
252;121
253;122
254;126
255;119
256;135
257;143
258;131
259;144
260;113
261;117
262;131
263;133
264;94
265;132
266;122
267;119
268;116
269;130
270;123
271;116
272;125
273;110
274;126
275;106
276;119
277;124
278;110
279;114
280;103
281;100
282;116
283;118
284;124
285;106
286;120
287;96
288;113
289;89
290;91
291;116
292;115
293;99
294;110
295;84
296;97
297;105
298;99
299;94
300;79
301;91
302;100
303;79
304;82
305;100
306;87
307;86
308;97
309;107
310;113
311;91
312;64
313;81
314;100
315;91
316;85
317;75
318;83
319;97
320;96
321;94
322;89
323;80
324;83
325;78
326;79
327;67
328;91
329;77
330;80
331;95
332;91
333;90
334;74
335;90
336;107
337;87
338;97
339;109
340;81
341;92
342;108
343;84
344;89
345;84
346;103
347;83
348;76
349;87
350;73
351;112
352;83
353;86
354;81
355;96
356;92
357;76
358;88
359;106
360;95
361;78
362;69
363;106
364;98
365;91
366;69
367;110
368;105
369;64
370;88
371;65
372;85
373;89
374;89
375;79
376;97
377;92
378;95
379;93
380;100
381;73
382;88
383;113
384;100
385;77
386;77
387;70
388;87
389;97
390;85
391;70
392;108
393;84
394;70
395;87
396;92
397;103
398;75
399;103
400;77
401;80
402;96
403;82
404;95
405;74
