Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;3600
Messzeitpunkt:;17.02.2021 13:39:03

Messzeit Nullspektrum (s):;3600
Messzeitpunkt:;17.02.2021 12:30:00

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46111

Offset:;3

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;8;0
2;12;0
3;9;0
4;4;0
5;8;0
6;7;0
7;10;0
8;6;0
9;6;0
10;2;0
11;2;0
12;2;0
13;3;1
14;2;0
15;1;0
16;3;0
17;0;0
18;1;1
19;3;0
20;0;0
21;1;0
22;12;0
23;21;1
24;58;2
25;105;3
26;112;4
27;125;5
28;117;2
29;300;6
30;1139;23
31;1582;29
32;1141;27
33;706;9
34;491;17
35;581;16
36;702;14
37;865;16
38;1041;32
39;1157;30
40;1335;24
41;1361;27
42;1376;29
43;1429;31
44;1535;29
45;1515;31
46;1651;29
47;1641;27
48;1804;27
49;1759;27
50;1895;29
51;1945;28
52;2172;32
53;2131;31
54;2447;32
55;2481;40
56;2737;29
57;2834;33
58;3077;30
59;3200;28
60;3557;30
61;3525;43
62;3863;24
63;3901;28
64;4267;24
65;4191;27
66;4440;29
67;4315;42
68;4460;30
69;4203;39
70;4418;31
71;4219;23
72;4381;33
73;3977;37
74;3961;31
75;3765;27
76;3811;35
77;3390;32
78;3393;37
79;3219;22
80;3139;28
81;2848;36
82;2799;37
83;2686;35
84;2579;25
85;2402;29
86;2365;40
87;2235;26
88;2329;28
89;2096;20
90;2191;38
91;2050;36
92;2017;28
93;1924;33
94;1968;33
95;1915;41
96;1964;34
97;1835;29
98;1949;31
99;1927;39
100;1973;36
101;1891;31
102;1997;32
103;1881;43
104;2081;39
105;1919;30
106;2010;29
107;2040;39
108;2085;48
109;2053;43
110;2077;41
111;2008;29
112;2112;44
113;2050;30
114;2187;45
115;2076;45
116;2190;36
117;2087;34
118;2185;36
119;2069;34
120;2214;25
121;2165;39
122;2246;44
123;2178;37
124;2320;42
125;2241;31
126;2228;46
127;2247;44
128;2379;41
129;2358;46
130;2324;46
131;2350;52
132;2331;41
133;2280;27
134;2417;41
135;2511;41
136;2446;47
137;2455;41
138;2500;43
139;2522;33
140;2634;47
141;2487;36
142;2624;40
143;2526;31
144;2683;54
145;2678;45
146;2771;38
147;2665;64
148;2605;47
149;2620;39
150;2900;47
151;2833;39
152;2853;41
153;2894;31
154;3001;40
155;3035;33
156;3058;46
157;2941;40
158;3174;49
159;3177;50
160;3223;47
161;3024;34
162;3416;35
163;3286;25
164;3569;40
165;3405;47
166;3586;41
167;3532;56
168;3685;50
169;3717;45
170;3805;41
171;3781;49
172;4001;44
173;3700;34
174;4060;45
175;3927;42
176;4194;52
177;4041;51
178;4337;45
179;4127;43
180;4321;40
181;4332;36
182;4428;48
183;4230;44
184;4533;53
185;4426;38
186;4543;39
187;4344;53
188;4652;36
189;4415;51
190;4546;40
191;4237;45
192;4495;53
193;4188;44
194;4349;40
195;4252;46
196;4196;47
197;4035;35
198;4107;51
199;3907;40
200;4022;38
201;3802;53
202;3796;43
203;3771;48
204;3802;40
205;3631;49
206;3690;35
207;3419;42
208;3482;47
209;3421;39
210;3464;43
211;3409;44
212;3226;35
213;3195;42
214;3298;48
215;3280;52
216;3326;45
217;3158;52
218;3201;40
219;3055;30
220;3044;40
221;3103;53
222;3238;52
223;3098;40
224;3361;51
225;2956;45
226;3128;47
227;3189;32
228;3204;46
229;3155;38
230;3303;55
231;3155;47
232;3369;58
233;3099;41
234;3297;33
235;3258;46
236;3300;42
237;3190;42
238;3351;46
239;3236;47
240;3405;57
241;3300;56
242;3493;43
243;3339;49
244;3460;45
245;3327;50
246;3521;51
247;3249;49
248;3501;44
249;3375;32
250;3465;52
251;3445;51
